# Search pattern file for IPC Green Inventory based on CPC classification codes.
#   Syntax:
#     - lines starting in "#" are ignored
#     - simple line entries define one classification code that indicates a green technology
#     - lines that include a hyphen ("-") indicate a range of classification codes
#     - lines in square brackets ("[...]") indicate groups of codes that must all be matched
#           for the same patent in order to be counted as green
# The strings are searched in USPTO US_Grant_CPC_MCF_Text_2018-08-01.zip entries that have the following form 
# Example:
#B21516392310011358E03D   5/00    20130101LI  0 0
# which includes the classification in positions 18-33:
#                  E03D   5/00    
# Other examples (classification code section only):
#                  B01L   3/508   
#                  G01N  21/648   
#                  G01N  33/54373 
#                  B01J2219/00527 
#
C10L   5/00 
C10L   5/40-48
C10B  53/02
C10L   5/40 
C10L   9/00
C10L   1/00
C10L   1/02
C10L   1/14
C10L   1/02
C10L   1/19
C07C  67/00
C07C  69/00
C10G
C10L   1/02 
C10L   1/19
C11C   3/10
C12P   7/64
C10L   1/02
C10L   1/182
C12N   9/24
C12P   7/06-14
C02F   3/28
C02F  11/04
C10L   3/00
C12M   1/107
C12P   5/02
C12N   1/13
C12N   1/15
C12N   1/21
C12N   5/10
C12N  15/00
A01H
C10L   3/00
F02C   3/28
H01M   4/86-98
H01M   8/00-24
H01M  12/00-08
H01M   4/86-98
H01M   4/86-98
H01M   2/00-04
H01M   8/00-24
H01M  12/00-08
C10B  53/00
C10J
C10L   5/00
C10L   5/42 
C10L   5/44
F23G   7/00
F23G   7/10
C10J   3/02
C10J   3/46
F23B  90/00
F23G   5/027
B09B   3/00
F23G   7/00
C10L   5/48
F23G   5/00
F23G   7/00
C21B   5/06
D21C  11/00
A62D   3/02
C02F  11/14
C02F  11/04
F23G   7/00
F23G   7/10
B09B   3/00
F23G   5/00
B09B
B01D  53/02
B01D  53/04
B01D  53/047
B01D  53/14
B01D  53/22
B01D  53/24
C10L   5/46
F23G   5/00
E02B   9/00-06
E02B   9/08
F03B
F03C
F03B  13/12-26
F03B  15/00-22
B63H  19/02
B63H  19/04
F03G   7/05
F03D
H02K   7/18
B63B  35/00
E04H  12/00
F03D  13/00 	
B60K  16/00
B60L   8/00
B63H  13/00
F24S
H02S
H01L  27/142
H01L  31/000-078
H01G   9/20
H02S  10/00 	
H01L  27/30
H01L  51/42-48
H01L  25/00
H01L  25/03
H01L  25/16
H01L  25/18
H01L  31/042
C01B  33/02
C23C  14/14
C23C  16/24
C30B  29/06
G05F   1/67
F21L   4/00
F21S   9/03
H02J   7/35
H01G   9/20
H01M  14/00
F24S
F24D  17/00
F24D   3/00
F24D   5/00
F24D  11/00
F24D  19/00
F24S  90/00
F03D   1/04
F03D   9/00
F03D  13/20
F03G   6/00
C02F   1/14
F02C   1/05
H01L  31/0525
H02S  40/44
B60K  16/00
B60L   8/00
F03G   6/00-06
E04D  13/00
E04D  13/18
F22B   1/00
F24V  30/00
F25B  27/00
F26B   3/00
F26B   3/28
F24S  23/00
G02B   7/183
F24S  10/10
F24T
F01K
F24F   5/00
H02N  10/00
F25B  30/06
F03G   4/00-06
F03G   7/04
F24D  11/02
F24D  15/04
F24D  17/02
F24H   4/00
F25B  30/00
F01K  27/00
F01K  23/06-10
F01N   5/00
F02G   5/00-04
F25B  27/02
F01K  17/00
F01K  23/04
F02C   6/18
F25B  27/02
C02F   1/16
D21F   5/20
F22B   1/02
F23G   5/46
F24F  12/00
F27D  17/00
C10J   3/86
F03G   5/00-08
B60K   6/00
B60K   6/20
B60W  20/00
F16H   3/00-78
F16H  48/00-30
H02K  29/08
H02K  49/10
B60L   7/10-22
B60L   8/00
B60L   9/00
B60L  11/18
F02B  43/00
F02M  21/02
F02M  27/02
B60K  16/00
H02J   7/00
B62D  35/00
B62D  35/02
B63B   1/34-40
B62K
B62M   1/00
B62M   3/00
B62M   5/00
B62M   6/00
B61
B61D  17/02
B63H   9/00
B63H  13/00
B63H  19/02
B63H  19/04
B63H  16/00
B63H  21/18
B64G   1/44
B60K   6/28
B60W  10/26
H01M  10/44-46
H01G  11/00
H02J   3/28
H02J   7/00
H02J  15/00
H02J
H02J   9/00
B60L   3/00
G01R
C09K   5/00
F24H   7/00
F28D  20/00
F28D  20/02
F21K  99/00
F21L   4/02
H01L  33/00-64
H01L  51/50
H05B  33/00 	
E04B   1/62
E04B   1/74-80
E04B   1/88
E04B   1/90
E04C   1/40
E04C   1/41
E04C   2/284-296
E06B   3/263
E04B   2/00
E04F  13/08
E04B   5/00
E04F  15/18
E04B   7/00
E04D   1/28
E04D   3/35
E04D  13/16
E04B   9/00
E04F  13/08
F03G   7/08
B60K   6/10
B60K   6/30
B60L  11/16
B09B
B65F
A61L  11/00
A62D   3/00
A62D 101/00
G21F   9/00
B03B   9/06
B09C
D21B   1/08
D21B   1/32
F23G
A43B   1/12
A43B  21/14
B22F   8/00
C04B   7/24-30
C04B  18/04-10
C05F
C08J  11/00-28
C09K  11/01
C11B  11/00
C11B  13/00-04
C14C   3/32
C21B   3/04
C25C   1/00
D01F  13/00-04
B29B  17/00
B62D  67/00
C08J  11/04-28
C10G   1/10
C10L   5/46
C10L   5/48
C22B   7/00-04
C22B  19/30
C22B  25/06
D01G  11/00
D21C   5/02
H01J   9/50
H01J   9/52
H01M   6/52
H01M  10/54
B01D  53/14
B01D  53/22
B01D  53/62
B65G   5/00
C01B  32/50
E21B  41/00
E21B  43/16
E21F  17/16
F25J   3/02
B01D  53/00-96
F01N   3/00-38
B01D  53/92
F02B  75/10
C21C   5/38
C10B  21/18
F23B  80/02
F23C   9/00
F23G   7/06
F01N   9/00
B03C   3/00
C21B   7/22
C21C   5/38
F27B   1/18
F27B  15/12
C10L  10/02
C10L  10/06
F23J   7/00
F23J  15/00
C09K   3/22
G08B  21/12
B63J   4/00
C02F
C05F   7/00
C09K   3/32
B63B  35/32
E02B  15/04
E03C   1/12
C02F   1/00
C02F   3/00
C02F   9/00 
E03F
G21C  13/10
A01G  23/00
A01G  25/00
C09K  17/00
E02D   3/00
C05F
G06Q
G08G
G06Q
E04H   1/00
G21
G21B
G21C
G21D
F02C   1/05
#
A01N  25-65
B01D  45-51
F28D  17-20
F24T  10-50
F24T  10-50
F24V  30-50
